id,user_id,order_date,status
1,1,2024-08-01,returned
2,3,2024-08-02,completed
3,94,2024-08-04,completed
4,50,2024-08-05,completed
5,64,2024-08-05,completed
6,54,2024-08-07,completed
7,88,2024-08-09,completed
8,2,2024-08-11,returned
9,53,2024-08-12,completed
10,7,2024-08-14,completed
11,99,2024-08-14,completed
12,59,2024-08-15,completed
13,84,2024-08-17,completed
14,40,2024-08-17,returned
15,25,2024-08-17,completed
16,39,2024-08-18,completed
17,71,2024-08-18,completed
18,64,2024-08-20,returned
19,54,2024-08-22,completed
20,20,2024-08-23,completed
21,71,2024-08-23,completed
22,86,2024-08-24,completed
23,22,2024-08-26,return_pending
24,3,2024-08-27,completed
25,51,2024-08-28,completed
26,32,2024-08-28,completed
27,94,2024-08-29,completed
28,8,2024-08-29,completed
29,57,2024-08-31,completed
30,69,2024-09-02,completed
31,16,2024-09-02,completed
32,28,2024-09-04,completed
33,42,2024-09-04,completed
34,38,2024-09-06,completed
35,80,2024-09-08,completed
36,85,2024-09-10,completed
37,1,2024-09-10,completed
38,51,2024-09-10,completed
39,26,2024-09-11,completed
40,33,2024-09-13,completed
41,99,2024-09-14,completed
42,92,2024-09-16,completed
43,31,2024-09-17,completed
44,66,2024-09-17,completed
45,22,2024-09-17,completed
46,6,2024-09-19,completed
47,50,2024-09-20,completed
48,27,2024-09-21,completed
49,35,2024-09-21,completed
50,51,2024-09-23,completed
51,71,2024-09-24,completed
52,54,2024-09-25,return_pending
53,34,2024-09-26,completed
54,54,2024-09-26,completed
55,18,2024-09-27,completed
56,79,2024-09-28,completed
57,93,2024-10-01,completed
58,22,2024-10-01,completed
59,30,2024-10-02,completed
60,12,2024-10-03,completed
61,63,2024-10-03,completed
62,57,2024-10-05,completed
63,70,2024-10-06,completed
64,13,2024-10-07,completed
65,26,2024-10-08,completed
66,36,2024-10-10,completed
67,79,2024-10-11,completed
68,53,2024-10-11,completed
69,3,2024-10-11,completed
70,8,2024-10-12,completed
71,42,2024-10-12,shipped
72,30,2024-10-14,shipped
73,19,2024-10-16,completed
74,9,2024-10-17,shipped
75,69,2024-10-18,completed
76,25,2024-10-20,completed
77,35,2024-10-21,shipped
78,90,2024-10-23,shipped
79,52,2024-10-23,shipped
80,11,2024-10-23,shipped
81,76,2024-10-23,shipped
82,46,2024-10-24,shipped
83,54,2024-10-24,shipped
84,70,2024-10-26,placed
85,47,2024-10-26,shipped
86,68,2024-10-26,placed
87,46,2024-10-27,placed
88,91,2024-10-27,shipped
89,21,2024-10-28,placed
90,66,2024-10-30,shipped
91,47,2024-10-31,placed
92,84,2024-11-02,placed
93,66,2024-11-03,placed
94,63,2024-11-03,placed
95,27,2024-11-04,placed
96,90,2024-11-04,placed
97,89,2024-11-05,placed
98,41,2024-11-05,placed
99,85,2024-11-05,placed
